Page_ID,class,Q1_Saltwater,Q1_Sugarwater,Q1_Muddywater,Q1_Ink,Q1_MisoSoup,Q1_SoySauce,Q2_MisoSaltyReason,Q3_TeaLeaves_DissolveInWater,Q3_TeaComponents_DissolveInWater,Q4_ExperimentInterestRating,Q4_ExperimentInterestComment,Q5_NewLearningsRating,Q6_DissolvingUnderstandingRating,Q6_DissolvingUnderstandingComment,GeneralPageComments
1,3.0,True,True,False,False,False,True,ナトリウムが入っているから,False,False,3,,3,4,,
2,3.0,True,True,False,False,False,False,ナトリウムが入っているから,False,True,4,,4,4,,
3,3.0,True,True,False,False,True,True,ナトリウムが入っているから,False,True,4,,4,4,,
4,3.0,True,True,False,True,True,True,ナトリウムが入っているから,False,True,4,,4,4,,
5,3.0,True,True,False,False,False,False,塩が入っているから,False,True,4,,4,4,,
6,3.0,True,True,False,False,False,True,塩が入っているから,False,True,4,,4,4,,
7,3.0,True,True,False,False,True,True,ナトリウムが入っているから,False,True,4,,4,4,,
8,3.0,True,True,False,False,False,True,ナトリウムが含まれているから,False,True,4,,4,4,,
9,3.0,True,True,False,False,False,True,ナトリウムが入っているから,False,True,4,,4,4,,
10,3.0,True,True,False,False,True,True,ナトリウムが入っているから,False,True,4,,4,4,,
11,3.0,True,True,False,False,False,False,みそが入っているから,False,True,4,,4,4,,
12,3.0,True,True,False,False,True,True,塩が入っているから,False,False,4,,4,4,,
13,3.0,True,True,False,False,True,False,,False,False,4,,4,4,,
14,3.0,True,True,False,False,True,True,ナトリウムが入っているから,False,True,4,,4,4,,
15,3.0,True,True,False,True,False,True,ナトリウムが入っているから,False,True,4,,4,4,,
16,3.0,True,True,False,False,False,False,ナトリウムが入っているから,False,True,4,,4,4,,
17,3.0,True,True,False,False,False,False,ナトリウムが入っているから,False,True,4,,4,4,,
18,3.0,True,True,False,False,False,False,ナトリウムが入っているから,False,False,3,,3,2,,
19,3.0,True,True,False,False,False,True,,False,True,1,,2,1,,
20,3.0,True,True,False,False,True,True,ナトリウムが入っているから,False,True,3,,3,3,,
21,3.0,True,True,False,False,True,True,ナトリウムが入っているから,False,True,3,,3,3,,
22,3.0,True,True,False,False,False,False,ナトリウムが入っているから,False,True,4,,3,3,,
23,3.0,True,True,False,False,True,True,塩が入っているから,False,True,4,,4,3,,
24,3.0,True,True,False,False,False,False,とけた塩が粒になってみそになってる,False,False,4,,4,3,,
1,1.0,True,True,False,False,False,True,みそに塩がはいっているから,False,True,1,,2,3,,
2,1.0,True,True,False,False,False,False,みそにふくまれているしょっぱいもの（塩？）がみそと一緒にとけたから。,False,True,4,,4,3,,
3,1.0,True,True,False,False,False,False,みそにふくまれている塩分がはいっているから,False,True,4,,4,3,,
4,1.0,True,True,False,False,False,False,みそが水にとけているから。,False,True,4,,4,3,,
5,1.0,True,True,False,False,False,True,食塩が入っているから,False,True,4,,4,3,,
6,1.0,True,True,False,True,True,False,みそなど水よう液になる物がはいるから,False,True,4,,3,3,,
7,1.0,True,True,False,False,False,False,塩分をふくんでいる。,False,True,4,,3,3,,
8,1.0,True,True,False,False,False,True,みその成分がとけているから,False,True,4,,4,4,,
9,1.0,True,True,False,False,True,False,しおの成分がはいっているから,True,True,4,,4,4,,
10,1.0,True,True,False,False,True,False,しおの成分がはいっているから,True,True,4,,4,4,,
11,1.0,True,True,False,False,False,False,塩分がとけて入っているから,False,True,4,,4,4,,
12,1.0,True,True,False,False,True,True,みそなど色々なものが入っているから。,False,True,4,,4,4,,
13,1.0,True,True,False,False,False,True,みそや塩が水に溶けているから。,False,True,4,,4,4,,
14,1.0,True,True,False,False,False,False,しょっぱい物がとけてみそしるになっているから。,False,True,4,,4,4,,
15,1.0,True,True,False,False,True,False,みそがしょっぱいからそれをとかして，みそしるになる,False,True,4,,4,4,,
