Page_ID,Excel_ID,class,Q1_Saltwater,Q1_Sugarwater,Q1_Muddywater,Q1_Ink,Q1_MisoSoup,Q1_SoySauce,Q3_TeaLeaves_DissolveInWater,Q3_TeaComponents_DissolveInWater,Q2_MisoSaltyReason,Q4_ExperimentInterestRating,Q4_ExperimentInterestComment,Q5_NewLearningsRating,Q6_DissolvingUnderstandingRating,Q6_DissolvingUnderstandingComment,GeneralPageComments
PAGE_001,1,3.0,,,,,,,,,ナトリウムが入っているから,3.0,,3.0,4.0,,
PAGE_002,2,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_003,3,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_004,4,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_005,5,3.0,,,,,,,,,塩が入っているから,4.0,,4.0,4.0,,
PAGE_006,6,3.0,,,,,,,,,塩が入っているから,4.0,,4.0,4.0,,
PAGE_007,7,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_008,8,3.0,,,,,,,,,ナトリウムが含まれているから,4.0,,4.0,4.0,,
PAGE_009,9,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_010,10,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_011,11,3.0,,,,,,,,,みそが入っているから,4.0,,4.0,4.0,,
PAGE_012,12,3.0,,,,,,,,,塩が入っているから,4.0,,4.0,4.0,,
PAGE_013,13,3.0,,,,,,,,,,4.0,,4.0,4.0,,
PAGE_014,14,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_015,15,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_016,16,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_017,17,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_018,18,3.0,,,,,,,,,ナトリウムが入っているから,3.0,,3.0,2.0,,
PAGE_019,19,3.0,,,,,,,,,,1.0,,2.0,1.0,,
PAGE_020,20,3.0,,,,,,,,,ナトリウムが入っているから,3.0,,3.0,3.0,,
PAGE_021,21,3.0,,,,,,,,,ナトリウムが入っているから,3.0,,3.0,3.0,,
PAGE_022,22,3.0,,,,,,,,,ナトリウムが入っているから,4.0,,3.0,3.0,,
PAGE_023,23,3.0,,,,,,,,,塩が入っているから,4.0,,4.0,3.0,,
PAGE_024,24,3.0,,,,,,,,,とけた塩が粒になってみそになってる,4.0,,4.0,3.0,,
PAGE_001,1,1.0,,,,,,,,,みそに塩がはいっているから,,,2.0,3.0,,
PAGE_002,2,1.0,,,,,,,,,みそにふくまれているしょっぱいもの（塩？）がみそと一緒にとけたから。,4.0,,4.0,3.0,,
PAGE_003,3,1.0,,,,,,,,,みそにふくまれている塩分がはいっているから,4.0,,4.0,3.0,,
PAGE_004,4,1.0,,,,,,,,,みそが水にとけているから。,4.0,,4.0,3.0,,
PAGE_005,5,1.0,,,,,,,,,食塩が入っているから,4.0,,4.0,3.0,,
PAGE_006,6,1.0,,,,,,,,,みそなど水よう液になる物がはいるから,4.0,,3.0,3.0,,
PAGE_007,7,1.0,,,,,,,,,塩分をふくんでいる。,4.0,,3.0,3.0,,
PAGE_008,8,1.0,,,,,,,,,みその成分がとけているから,4.0,,4.0,4.0,,
PAGE_009,9,1.0,,,,,,,,,しおの成分がはいっているから,4.0,,4.0,4.0,,
PAGE_010,10,1.0,,,,,,,,,しおの成分がはいっているから,4.0,,4.0,4.0,,
PAGE_011,11,1.0,,,,,,,,,塩分がとけて入っているから,4.0,,4.0,4.0,,
PAGE_012,12,1.0,,,,,,,,,みそなど色々なものが入っているから。,4.0,,4.0,4.0,,
PAGE_013,13,1.0,,,,,,,,,みそや塩が水に溶けているから。,4.0,,4.0,4.0,,
PAGE_014,14,1.0,,,,,,,,,しょっぱい物がとけてみそしるになっているから。,4.0,,4.0,4.0,,
PAGE_015,15,1.0,,,,,,,,,みそがしょっぱいからそれをとかして，みそしるになる,4.0,,4.0,4.0,,
PAGE_016,16,1.0,,,,,,,,,みそにえん分がはいっているから,4.0,,4.0,4.0,,
PAGE_017,17,1.0,,,,,,,,,,4.0,,4.0,4.0,,
PAGE_018,18,1.0,,,,,,,,,塩がとけているから,4.0,,4.0,4.0,,
PAGE_019,19,1.0,,,,,,,,,みそに食塩が入っているから,4.0,,4.0,4.0,,
PAGE_020,20,1.0,,,,,,,,,みそがとけているから,4.0,,4.0,4.0,,
PAGE_021,21,1.0,,,,,,,,,しおがとけているから,4.0,,4.0,4.0,,
PAGE_022,22,1.0,,,,,,,,,みそに塩が入っているから,4.0,,3.0,4.0,,
PAGE_023,23,1.0,,,,,,,,,塩分をふくんでいるから。,4.0,,3.0,4.0,,
PAGE_024,24,1.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,3.0,,
PAGE_049,49,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_050,50,4.0,,,,,,,,,塩化ナトリウムがみそ汁の中にとけているから,4.0,,4.0,4.0,,
PAGE_051,51,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_052,52,4.0,,,,,,,,,ナトリウムのおかげ,4.0,,4.0,4.0,,
PAGE_053,53,4.0,,,,,,,,,みその塩が入っていて、その中にナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_054,54,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_055,55,4.0,,,,,,,,,ストロンチウムを入れたから,4.0,,4.0,4.0,,
PAGE_056,56,4.0,,,,,,,,,みその中にあるナトリウムのせい,4.0,,4.0,4.0,,
PAGE_057,57,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
