"Page_ID","class","Q1_Saltwater_Response","Q1_Sugarwater_Response","Q1_Muddywater_Response","Q1_Ink_Response","Q1_MisoSoup_Response","Q1_SoySauce_Response","Q2_MisoSalty_Reason","Q3_TeaLeavesDissolve","Q3_TeaComponentsDissolve"
"1","1","true","true","false","false","true","false","しょうゆなどとけでしょっぱくなる。","false","N/A"
"2","1","true","true","false","true","true","false","N/A","N/A","N/A"
"3","1","true","true","N/A","false","true","false","みそが入っているから","N/A","N/A"
"4","1","true","true","false","false","true","true","N/A","false","true"
"5","1","true","true","false","false","true","N/A","みそが水にとける","N/A","N/A"
"6","1","true","true","false","true","true","false","N/A","いる/いない","いる/いない"
"7","1","true","true","false","false","true","false","N/A","false","true"
"8","1","true","true","false","false","true","false","みそがはいっているから","N/A","N/A"
"9","1","true","true","N/A","N/A","true","N/A","N/A","false","true"
"10","1","true","true","N/A","false","true","N/A","N/A","false","true"
"11","1","true","true","true","N/A","true","true","N/A","false","true"
"12","1","true","true","false","false","false","true","たぶんみそに塩がはいっているから","false","true"
"13","1","true","true","false","false","false","true","みそに塩か入っているからです。","false","true"
"14","1","true","true","false","N/A","N/A","true","塩が水に溶","false","true"
"15","1","true","true","true","false","true","false","はっこうしょくひんだから","false","true"
"16","1","true","true","true","false","true","false","食分が入っているから","false","true"
"17","1","true","true","false","true","true","false","N/A","false","true"
"18","1","true","true","true","true","false","false","N/A","false","true"
"19","1","true","true","false","false","true","true","N/A","true","true"
"20","1","true","true","false","false","true","false","みそが入っているから","true","true"
"21","1","true","false","false","false","false","false","みそがしょっぱい。","true","true"
"22","1","true","true","true","false","false","false","みそに食塩が入っているから","false","true"
"23","1","true","true","false","false","false","false","みそがまざっているから","false","true"
"24","1","true","true","true","true","true","false","?","false","true"
"1","4","true","true","true","false","false","false","みそしるの中にみそを使っているから みそがしょっぱい!!","false","true"
"2","4","true","true","true","false","false","false","みそしる中に、はいっているみそがしょっぱくて、そのしょっぱいのを水にととかした物だと思うからです。","false","true"
"3","4","true","true","false","false","false","true","みそがはいってるから","true","true"
"4","4","true","false","false","true","false","true","みそのせいぶんのえんみがつよい","false","true"
"5","4","true","false","false","true","false","true","目に見えない小さい塩のつぶがとけているから。","false","true"
"6","4","true","true","true","true","false","true","みその中に食塩が入っているから。","false","true"
"7","4","true","true","false","false","false","true","みそしるに入っている「みそ」に塩が入っているから。","false","true"
"8","4","true","true","true","false","false","true","塩が入ってるから","false","true"
"9","4","true","false","false","true","true","true","大豆としょうゆをまぜたものだから","false","true"
"10","4","true","true","false","false","true","true","みそしるに 入っているみそは 同じ大豆で できているしょうゆが しょっぱいから。","false","true"
"11","4","true","true","false","true","false","true","みそが入っているから","false","true"
"12","4","true","true","false","true","false","false","みそが入っていて、みその中に食塩が入っているから。","false","true"
"13","4","true","true","false","false","false","false","味のあるみそが水にとけているから","false","true"
"14","4","true","true","false","false","false","false","「みそ」をいれているから。","false","true"
