Page_ID,class,Q1_Saltwater_Response,Q1_Sugarwater_Response,Q1_Muddywater_Response,Q1_Ink_Response,Q1_MisoSoup_Response,Q1_SoySauce_Response,Q2_MisoSalty_Reason,Q3_TeaLeavesDissolve,Q3_TeaComponentsDissolve
1,3.0,True,True,False,False,True,False,みその中に,False,False
2,3.0,True,True,False,False,False,True,みそに塩が入っている,False,False
3,3.0,True,True,False,False,False,True,みそに塩が入っているから,False,False
4,3.0,True,True,False,False,True,True,みそが入っているから,True,False
5,3.0,True,True,False,False,True,True,塩が使われているから,True,False
6,3.0,True,True,False,False,False,True,食塩が含まれているから,False,True
7,3.0,True,True,False,False,False,True,塩が溶けているから,False,True
8,3.0,True,True,False,False,False,True,みその中にしょっぱくなる成分が入っているから,False,True
9,3.0,True,True,False,False,False,True,みそを使っていて，塩も使っているから,False,True
10,3.0,True,True,False,False,False,True,みそが入っているから,False,True
11,3.0,True,True,False,False,False,True,,False,True
12,3.0,True,True,False,False,False,True,みその中に食塩が入っているから,False,True
13,3.0,True,True,False,False,False,True,みその中に食塩が入っている,False,True
14,3.0,True,True,False,True,False,True,塩が入っているから,False,True
15,3.0,True,True,False,False,True,True,食塩が入っているから,False,True
16,3.0,True,True,False,False,True,True,塩が入っているから,False,True
17,3.0,True,True,False,False,True,True,みそが入っているから,False,True
18,3.0,True,True,False,False,True,True,,False,True
19,3.0,True,True,False,False,True,True,みそを入れているから,False,True
20,3.0,True,True,True,False,False,False,みそに塩が入っているから,False,True
21,3.0,True,True,True,False,False,False,塩を溶かして作っているから,False,True
22,3.0,True,True,False,False,False,False,塩が入っているから,False,True
23,3.0,True,True,False,False,False,False,食塩とみそが入っているから,False,True
24,3.0,True,True,False,False,False,False,みそが入っているから,False,True
1,1.0,True,True,False,False,True,False,しょうゆなどがとけてしょっぱくなる。,False,False
2,1.0,True,True,False,True,True,False,,False,False
3,1.0,True,True,False,False,False,False,みそが入っているから,False,False
4,1.0,True,True,False,False,True,True,,False,False
5,1.0,True,True,False,False,True,False,みそが水にとける,False,False
6,1.0,True,True,False,True,True,False,,False,False
7,1.0,True,True,False,False,True,False,,False,False
8,1.0,True,True,False,False,True,False,みそが入っているから,False,False
9,1.0,True,True,False,False,True,False,,False,True
10,1.0,True,True,False,False,True,False,,False,True
11,1.0,True,True,True,True,True,True,,False,True
12,1.0,True,True,False,False,False,True,たぶんみぞに塩がはいっているから,False,True
13,1.0,True,True,False,False,False,True,みそに塩が入っているからです。,False,True
14,1.0,True,True,False,False,False,True,塩が水に溶,False,True
15,1.0,True,True,True,False,True,False,はっこう食品だから,False,True
16,1.0,True,True,True,False,True,False,食分が入っているから,False,True
17,1.0,True,True,False,True,True,False,,False,True
18,1.0,True,True,False,True,False,False,,False,True
19,1.0,True,True,False,False,True,True,,True,True
20,1.0,True,True,False,False,True,False,みそが入っているから。,True,True
21,1.0,True,False,False,False,False,False,みそがしょっぱいから。,True,True
22,1.0,True,True,True,False,False,False,みそに食塩が入っているから,True,True
23,1.0,True,True,False,False,False,False,みそがまざっているから,True,True
24,1.0,True,True,True,True,True,False,？,False,True
1,4.0,True,True,True,False,False,False,みそ汁の中にみそを使っているから,False,False
