整理番号,クラス,クイズ1（〇が1，×が0）,クイズ2,クイズ3,クイズ4,クイズ5,クイズ6,味噌汁記述,お茶クイズ1（いる1，いない0）,お茶クイズ2（いる1，いない0）,おもしろさ,新発見,理解
1,3.0,1.0,1.0,0.0,0.0,0.0,1.0,ナトリウムが入っているから,0.0,0.0,3.0,3.0,4.0
2,3.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
3,3.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
4,3.0,1.0,1.0,0.0,1.0,1.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
5,3.0,1.0,1.0,0.0,0.0,0.0,0.0,塩が入っているから,0.0,1.0,4.0,4.0,4.0
6,3.0,1.0,1.0,0.0,0.0,0.0,1.0,塩が入っているから,0.0,1.0,4.0,4.0,4.0
7,3.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
8,3.0,1.0,1.0,0.0,0.0,0.0,1.0,ナトリウムが含まれているから,0.0,1.0,4.0,4.0,4.0
9,3.0,1.0,1.0,0.0,0.0,0.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
10,3.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
11,3.0,1.0,1.0,0.0,0.0,0.0,0.0,みそが入っているから,0.0,1.0,4.0,4.0,4.0
12,3.0,1.0,1.0,0.0,0.0,1.0,1.0,塩が入っているから,,,4.0,4.0,4.0
13,3.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,4.0,4.0,4.0
14,3.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
15,3.0,1.0,1.0,0.0,1.0,0.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
16,3.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
17,3.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
18,3.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,0.0,3.0,3.0,2.0
19,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0,1.0,2.0,1.0
20,3.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムが入っているから,0.0,1.0,3.0,3.0,3.0
21,3.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムが入っているから,0.0,1.0,3.0,3.0,3.0
22,3.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,3.0,3.0
23,3.0,1.0,1.0,0.0,0.0,1.0,1.0,塩が入っているから,0.0,1.0,4.0,4.0,3.0
24,3.0,1.0,1.0,0.0,0.0,0.0,0.0,とけた塩が粒になってみそになってる,,,4.0,4.0,3.0
1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,みそに塩がはいっているから,0.0,1.0,,2.0,3.0
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,みそにふくまれているしょっぱいもの（塩？）がみそと一緒にとけたから。,0.0,1.0,4.0,4.0,3.0
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,みそにふくまれている塩分がはいっているから,0.0,1.0,4.0,4.0,3.0
4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,みそが水にとけているから。,0.0,1.0,4.0,4.0,3.0
5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,食塩が入っているから,0.0,1.0,4.0,4.0,3.0
6,1.0,1.0,1.0,0.0,1.0,1.0,0.0,みそなど水よう液になる物がはいるから,0.0,1.0,4.0,3.0,3.0
7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,塩分をふくんでいる。,0.0,1.0,4.0,3.0,3.0
8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,みその成分がとけているから,0.0,1.0,4.0,4.0,4.0
9,1.0,1.0,1.0,0.0,0.0,1.0,0.0,しおの成分がはいっているから,1.0,1.0,4.0,4.0,4.0
10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,しおの成分がはいっているから,1.0,1.0,4.0,4.0,4.0
11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,塩分がとけて入っているから,0.0,1.0,4.0,4.0,4.0
12,1.0,1.0,1.0,0.0,0.0,1.0,1.0,みそなど色々なものが入っているから。,0.0,1.0,4.0,4.0,4.0
13,1.0,1.0,1.0,0.0,0.0,0.0,1.0,みそや塩が水に溶けているから。,0.0,1.0,4.0,4.0,4.0
14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,しょっぱい物がとけてみそしるになっているから。,0.0,1.0,4.0,4.0,4.0
15,1.0,1.0,1.0,0.0,0.0,1.0,0.0,みそがしょっぱいからそれをとかして，みそしるになる,0.0,1.0,4.0,4.0,4.0
16,1.0,1.0,0.0,0.0,0.0,1.0,1.0,みそにえん分がはいっているから,1.0,1.0,4.0,4.0,4.0
17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,4.0,4.0,4.0
18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,塩がとけているから,0.0,1.0,4.0,4.0,4.0
19,1.0,1.0,1.0,0.0,0.0,0.0,0.0,みそに食塩が入っているから,0.0,1.0,4.0,4.0,4.0
20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,みそがとけているから,0.0,1.0,4.0,4.0,4.0
21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,しおがとけているから,1.0,0.0,4.0,4.0,4.0
22,1.0,1.0,1.0,0.0,0.0,0.0,0.0,みそに塩が入っているから,0.0,1.0,4.0,3.0,4.0
23,1.0,1.0,1.0,0.0,0.0,0.0,1.0,塩分をふくんでいるから。,0.0,1.0,4.0,3.0,4.0
24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,3.0
49,4.0,1.0,1.0,0.0,0.0,0.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
50,4.0,1.0,0.0,1.0,0.0,0.0,1.0,塩化ナトリウムがみそ汁の中にとけているから,0.0,1.0,4.0,4.0,4.0
51,4.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
52,4.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムのおかげ,0.0,1.0,4.0,4.0,4.0
53,4.0,1.0,1.0,0.0,0.0,1.0,1.0,みその塩が入っていて、その中にナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
54,4.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
55,4.0,1.0,1.0,1.0,0.0,1.0,0.0,ストロンチウムを入れたから,0.0,1.0,4.0,4.0,4.0
