整理番号,クラス,クイズ1（〇が1，×が0）,クイズ2,クイズ3,クイズ4,クイズ5,クイズ6,味噌汁記述,お茶クイズ1（いる1，いない0）,お茶クイズ2（いる1，いない0）
1,3.0,1.0,1.0,0.0,0.0,1.0,0.0,みその中に,0.0,0.0
2,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みそに塩が入っている,0.0,0.0
3,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みそに塩が入っているから,0.0,0.0
4,3.0,1.0,1.0,0.0,0.0,1.0,1.0,みそが入っているから,1.0,0.0
5,3.0,1.0,1.0,0.0,0.0,1.0,1.0,塩が使われているから,1.0,0.0
6,3.0,1.0,1.0,0.0,0.0,0.0,1.0,食塩が含まれているから,0.0,1.0
7,3.0,1.0,1.0,0.0,0.0,0.0,1.0,塩が溶けているから,0.0,1.0
8,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みその中にしょっぱくなる成分が入っているから,0.0,1.0
9,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みそを使っていて，塩も使っているから,0.0,1.0
10,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みそが入っているから,0.0,1.0
11,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0
12,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みその中に食塩が入っているから,0.0,1.0
13,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みその中に食塩が入っている,0.0,1.0
14,3.0,1.0,1.0,0.0,1.0,0.0,1.0,塩が入っているから,0.0,1.0
15,3.0,1.0,1.0,0.0,0.0,1.0,1.0,食塩が入っているから,0.0,1.0
16,3.0,1.0,1.0,0.0,0.0,1.0,1.0,塩が入っているから,0.0,1.0
17,3.0,1.0,1.0,0.0,0.0,1.0,1.0,みそが入っているから,0.0,1.0
18,3.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,1.0
19,3.0,1.0,1.0,0.0,0.0,1.0,1.0,みそを入れているから,0.0,1.0
20,3.0,1.0,1.0,1.0,0.0,0.0,0.0,みそに塩が入っているから,0.0,1.0
21,3.0,1.0,1.0,1.0,0.0,0.0,0.0,塩を溶かして作っているから,0.0,1.0
22,3.0,1.0,1.0,0.0,0.0,0.0,0.0,塩が入っているから,0.0,1.0
23,3.0,1.0,1.0,0.0,0.0,0.0,0.0,食塩とみそが入っているから,0.0,1.0
24,3.0,1.0,1.0,0.0,0.0,0.0,0.0,みそが入っているから,0.0,1.0
1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,しょうゆなどがとけてしょっぱくなる。,0.0,
