Dataset,Excel_ID,Page_ID,Column,Excel_Value,CSV_Value
Before,1,1,クイズ3,0.0,True
Before,1,1,クイズ5,1.0,False
Before,1,1,お茶クイズ2（いる1，いない0）,0.0,
Before,2,2,クイズ3,0.0,True
Before,2,2,お茶クイズ1（いる1，いない0）,0.0,
Before,2,2,お茶クイズ2（いる1，いない0）,0.0,
Before,3,3,クイズ3,0.0,
Before,3,3,お茶クイズ1（いる1，いない0）,0.0,
Before,3,3,お茶クイズ2（いる1，いない0）,0.0,
Before,4,4,クイズ2,1.0,False
Before,4,4,クイズ4,0.0,True
Before,4,4,クイズ5,1.0,False
Before,4,4,お茶クイズ1（いる1，いない0）,1.0,False
Before,4,4,お茶クイズ2（いる1，いない0）,0.0,True
Before,5,5,クイズ2,1.0,False
Before,5,5,クイズ4,0.0,True
Before,5,5,クイズ5,1.0,False
Before,5,5,クイズ6,1.0,
Before,5,5,お茶クイズ1（いる1，いない0）,1.0,
Before,5,5,お茶クイズ2（いる1，いない0）,0.0,
Before,6,6,クイズ3,0.0,True
Before,8,8,クイズ3,0.0,True
Before,8,8,お茶クイズ1（いる1，いない0）,0.0,
Before,8,8,お茶クイズ2（いる1，いない0）,1.0,
Before,9,9,クイズ2,1.0,False
Before,9,9,クイズ3,0.0,
Before,9,9,クイズ4,0.0,
Before,9,9,クイズ6,1.0,
Before,10,10,クイズ3,0.0,
Before,10,10,クイズ6,1.0,
Before,11,11,クイズ4,0.0,
Before,11,11,クイズ6,1.0,False
Before,12,12,クイズ4,0.0,True
Before,12,12,クイズ6,1.0,False
Before,13,13,クイズ6,1.0,False
Before,14,14,クイズ4,1.0,
Before,14,14,クイズ5,0.0,
Before,14,14,クイズ6,1.0,False
Before,15,15,クイズ5,1.0,False
Before,16,16,クイズ5,1.0,False
Before,17,17,クイズ3,0.0,True
Before,19,19,クイズ6,1.0,False
Before,21,21,クイズ5,0.0,True
Before,22,22,クイズ5,0.0,True
Before,23,23,クイズ3,0.0,True
Before,23,23,クイズ5,0.0,True
Before,49,1,お茶クイズ2（いる1，いない0）,0.0,
Before,50,2,クイズ6,0.0,True
Before,50,2,お茶クイズ1（いる1，いない0）,0.0,
Before,50,2,お茶クイズ2（いる1，いない0）,0.0,
Before,51,3,クイズ3,0.0,
Before,51,3,お茶クイズ1（いる1，いない0）,1.0,
Before,51,3,お茶クイズ2（いる1，いない0）,0.0,
Before,53,5,クイズ6,1.0,
Before,53,5,お茶クイズ1（いる1，いない0）,0.0,
Before,53,5,お茶クイズ2（いる1，いない0）,1.0,
Before,54,6,クイズ4,1.0,False
Before,56,8,お茶クイズ1（いる1，いない0）,0.0,
Before,56,8,お茶クイズ2（いる1，いない0）,1.0,
Before,57,9,クイズ3,0.0,
Before,57,9,クイズ4,1.0,
Before,57,9,クイズ5,1.0,False
Before,57,9,クイズ6,1.0,
Before,58,10,クイズ3,0.0,
Before,58,10,クイズ5,1.0,False
Before,58,10,クイズ6,1.0,
Before,59,11,クイズ4,1.0,
Before,62,14,クイズ4,0.0,
Before,62,14,クイズ5,0.0,
Before,63,15,クイズ6,0.0,True
Before,64,16,クイズ3,1.0,False
Before,64,16,クイズ6,0.0,True
Before,65,17,クイズ4,1.0,False
Before,65,17,クイズ6,0.0,True
Before,66,18,クイズ3,1.0,False
Before,66,18,クイズ4,1.0,False
Before,66,18,クイズ6,0.0,True
Before,68,20,クイズ3,0.0,True
Before,68,20,クイズ5,1.0,False
Before,69,21,クイズ3,0.0,True
Before,72,24,クイズ5,1.0,False
Before,73,25,クイズ3,1.0,False
Before,73,25,クイズ5,1.0,False
Before,73,25,クイズ6,0.0,True
After,1,1,おもしろさ,3.0,4.0
After,1,1,新発見,3.0,4.0
After,2,2,クイズ2,1.0,False
After,2,2,クイズ3,0.0,True
After,2,2,クイズ6,0.0,True
After,5,5,クイズ5,0.0,True
After,7,7,クイズ3,0.0,True
After,8,8,クイズ6,1.0,False
After,10,10,クイズ3,0.0,True
After,10,10,クイズ4,0.0,True
After,11,11,クイズ5,0.0,True
After,12,12,クイズ3,0.0,True
After,12,12,クイズ4,0.0,True
After,12,12,クイズ6,1.0,False
After,13,13,クイズ3,0.0,True
After,17,17,クイズ5,0.0,True
After,17,17,クイズ6,0.0,True
After,17,17,新発見,4.0,3.0
After,18,18,クイズ2,1.0,False
After,18,18,クイズ5,0.0,True
After,18,18,クイズ6,0.0,True
After,19,19,お茶クイズ1（いる1，いない0）,0.0,True
After,19,19,新発見,2.0,3.0
After,22,22,クイズ5,0.0,True
After,22,22,おもしろさ,4.0,3.0
After,22,22,新発見,3.0,4.0
After,23,23,クイズ3,0.0,True
After,24,24,理解,3.0,4.0
After,49,1,お茶クイズ2（いる1，いない0）,1.0,False
After,52,4,クイズ4,0.0,True
After,53,5,クイズ6,1.0,False
After,54,6,クイズ6,0.0,True
After,55,7,クイズ6,0.0,True
After,58,10,クイズ6,0.0,True
After,61,13,クイズ5,0.0,True
After,61,13,お茶クイズ2（いる1，いない0）,1.0,False
After,62,14,クイズ5,0.0,True
After,62,14,クイズ6,0.0,True
After,63,15,クイズ4,0.0,True
After,63,15,クイズ6,0.0,True
After,64,16,クイズ3,1.0,False
After,66,18,お茶クイズ2（いる1，いない0）,1.0,False
After,66,18,おもしろさ,4.0,3.0
After,66,18,理解,4.0,2.0
After,67,19,クイズ6,0.0,True
After,67,19,おもしろさ,4.0,1.0
After,67,19,理解,4.0,1.0
After,68,20,クイズ5,0.0,True
After,68,20,おもしろさ,4.0,3.0
After,68,20,新発見,4.0,3.0
After,69,21,クイズ5,0.0,True
After,69,21,クイズ6,0.0,True
After,69,21,おもしろさ,4.0,3.0
After,69,21,新発見,4.0,3.0
After,70,22,クイズ6,1.0,False
After,71,23,クイズ6,0.0,True
After,71,23,新発見,3.0,4.0
